"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget","Director","FB_likes","YoutubeViews"
"15","Pirates of the Caribbean: Dead Man's Chest","/movies/?id=piratesofthecaribbean2.htm",423315812,"Buena Vista","July","Period Adventure",151,"PG-13",225,"Gore Verbinski",1013483,659408
"16","Toy Story 3","/movies/?id=toystory3.htm",415004880,"Buena Vista","June","Animation",103,"G",200,"Lee Unkrich",5938987,7922024
"17","Iron Man 3","/movies/?id=ironman3.htm",409013994,"Buena Vista","May","Action / Adventure",129,"PG-13",200,"Shane Black",1013121,26855980
"18","Captain America: Civil War","/movies/?id=marvel2016.htm",408084349,"Buena Vista","May","Action / Adventure",147,"PG-13",250,"Anthony Russo",67249,75440628
"19","The Hunger Games","/movies/?id=hungergames.htm",408010692,"Lionsgate","March","Action / Adventure",142,"PG-13",78,"Gary Ross",21856391,5351969
"20","Spider-Man","/movies/?id=spiderman.htm",403706375,"Sony / Columbia","May","Action / Adventure",121,"PG-13",139,"Sam Raimi",4340,4528341
"21","Transformers: Revenge of the Fallen","/movies/?id=transformers2.htm",402111870,"Paramount (DreamWorks)","June","Sci-Fi Action",144,"PG-13",200,"Michael Bay",115944,636688
"22","Frozen","/movies/?id=frozen2013.htm",400738009,"Buena Vista","November","Animation",108,"PG",150,"Chris Buck",24315385,33361193
"23","Harry Potter and the Deathly Hallows Part 2","/movies/?id=harrypotter72.htm",381011219,"Warner Bros.","July","Fantasy",130,"PG-13",NA,"David Yates",27255,11923355
"24","Star Wars: Episode III - Revenge of the Sith","/movies/?id=starwars3.htm",380270577,"Fox","May","Sci-Fi Fantasy",146,"PG-13",113,"George Lucas",133676,2237358
"25","The Lord of the Rings: The Return of the King","/movies/?id=returnoftheking.htm",377027325,"New Line","December","Fantasy",200,"PG-13",94,"Peter Jackson",236794,1785239
"26","Spider-Man 2","/movies/?id=spiderman2.htm",373585825,"Sony / Columbia","June","Action / Adventure",127,"PG-13",200,"Sam Raimi",193718,257484
"27","The Passion of the Christ","/movies/?id=passionofthechrist.htm",370274604,"Newmarket","February","Historical Drama",126,"R",30,"Mel Gibson",3469039,1282891
"28","The Secret Life of Pets","/movies/?id=illumination2015.htm",368384330,"Universal","July","Animation",90,"PG",75,"Chris Renaud",2923615,9245445
"29","Despicable Me 2","/movies/?id=despicableme2.htm",368061265,"Universal","July","Animation",98,"PG",76,"Pierre Coffin",369719,4405780
"30","The Jungle Book (2016)","/movies/?id=junglebook2015.htm",364001123,"Buena Vista","April","Adventure",105,"PG",175,"Jon Favreau",28849,7848422
"31","Deadpool","/movies/?id=deadpool2016.htm",363070709,"Fox","February","Action",106,"R",58,"Tim Miller",6762138,33611166
"32","Guardians of the Galaxy Vol. 2","/movies/?id=marvel17a.htm",361808172,"Buena Vista","May","Action / Adventure",137,"PG-13",200,"James Gunn",16129,6822691
"33","Inside Out","/movies/?id=pixar2014.htm",356461711,"Buena Vista","June","Animation",94,"PG",175,"Pete Docter",931709,16923686
"34","Furious 7","/movies/?id=fast7.htm",353007020,"Universal","April","Action",137,"PG-13",190,"James Wan",90466,68425931
"35","Transformers: Dark of the Moon","/movies/?id=transformers3.htm",352390543,"Paramount (DreamWorks)","June","Sci-Fi Action",154,"PG-13",195,"Michael Bay",2205431,22340649
"36","American Sniper","/movies/?id=americansniper.htm",350126372,"Warner Bros.","December","Drama",132,"R",588,"Clint Eastwood",2388885,15307056
"37","Zootopia","/movies/?id=disney2016.htm",341268248,"Buena Vista","March","Animation",108,"PG",NA,"Byron Howard",1277833,20158787
"38","The Lord of the Rings: The Two Towers","/movies/?id=twotowers.htm",339789881,"New Line","December","Fantasy",179,"PG-13",94,"Peter Jackson",2,476790
"39","Finding Nemo","/movies/?id=findingnemo.htm",339714978,"Buena Vista","May","Animation",104,"G",94,"Andrew Stanton",18883207,1399587
"40","The Hunger Games: Mockingjay - Part 1","/movies/?id=hungergames3.htm",337135885,"Lionsgate","November","Action / Adventure",123,"PG-13",125,"Francis Lawrence",69887,11739981
"41","Spider-Man 3","/movies/?id=spiderman3.htm",336530303,"Sony / Columbia","May","Action / Adventure",140,"PG-13",258,"Sam Raimi",66808,1303605
"42","Minions","/movies/?id=minions.htm",336045770,"Universal","July","Animation",91,"PG",74,"Pierre Coffin",34927774,28297618
"43","Alice in Wonderland (2010)","/movies/?id=aliceinwonderland10.htm",334191110,"Buena Vista","March","Family Adventure",109,"PG",200,"Tim Burton",28974,5208390
"44","Guardians of the Galaxy","/movies/?id=marvel2014a.htm",333176600,"Buena Vista","August","Action / Adventure",121,"PG-13",170,"James Gunn",3968312,4779786
"45","Batman v Superman: Dawn of Justice","/movies/?id=superman2015.htm",330360194,"Warner Bros.","March","Action / Adventure",151,"PG-13",250,"Zack Snyder",4921729,69004380
"46","Suicide Squad","/movies/?id=dc2016.htm",325100054,"Warner Bros.","August","Action / Adventure",130,"PG-13",175,"David Ayer",7148111,81711241
"47","Shrek the Third","/movies/?id=shrek3.htm",322719944,"Paramount (DreamWorks)","May","Animation",92,"PG",160,"Chris Miller",72910,399014
"48","Transformers","/movies/?id=transformers06.htm",319246193,"Paramount (DreamWorks)","July","Sci-Fi Action",143,"PG-13",150,"Michael Bay",33008866,7764274
"49","Iron Man","/movies/?id=ironman.htm",318412101,"Paramount","May","Action / Adventure",126,"PG-13",140,"Jon Favreau",19417387,2103894
"50","Harry Potter and the Sorcerer's Stone","/movies/?id=harrypotter.htm",317575550,"Warner Bros.","November","Fantasy",153,"PG",125,"Chris Columbus",67636,596845
"51","Indiana Jones and the Kingdom of the Crystal Skull","/movies/?id=indianajones4.htm",317101119,"Paramount","May","Period Adventure",120,"PG-13",185,"Steven Spielberg",138144,163536
"52","The Lord of the Rings: The Fellowship of the Ring","/movies/?id=fellowshipofthering.htm",313364114,"New Line","December","Fantasy",178,"PG-13",93,"Peter Jackson",78370,1562749
"53","Iron Man 2","/movies/?id=ironman2.htm",312433331,"Paramount","May","Action / Adventure",125,"PG-13",200,"Jon Favreau",210418,451508
"54","Pirates of the Caribbean: At World's End","/movies/?id=piratesofthecaribbean3.htm",309420425,"Buena Vista","May","Period Adventure",168,"PG-13",300,"Gore Verbinski",80909,870992
"55","Independence Day","/movies/?id=independenceday.htm",306169268,"Fox","July","Sci-Fi Action",153,"PG-13",75,"Roland Emmerich",1648540,3469084
"56","Pirates of the Caribbean: The Curse of the Black Pearl","/movies/?id=piratesofthecaribbean.htm",305413918,"Buena Vista","July","Period Adventure",135,"PG-13",140,"Gore Verbinski",60137,1019073
"57","Skyfall","/movies/?id=bond23.htm",304360277,"Sony / Columbia","November","Action",143,"PG-13",200,"Sam Mendes",26386,25206039
"58","The Hobbit: An Unexpected Journey","/movies/?id=hobbit.htm",303003568,"Warner Bros. (New Line)","December","Fantasy",166,"PG-13",NA,"Peter Jackson",67220,5085104
"59","Star Wars: Episode II - Attack of the Clones","/movies/?id=starwars2.htm",302191252,"Fox","May","Sci-Fi Fantasy",132,"PG",115,"George Lucas",9004,1744559
"60","Harry Potter and the Half-Blood Prince","/movies/?id=harrypotter6.htm",301959197,"Warner Bros.","July","Fantasy",153,"PG",250,"David Yates",953098,5764027
"61","The Twilight Saga: Eclipse","/movies/?id=eclipse.htm",300531751,"Summit Entertainment","June","Romance",124,"PG-13",68,"David Slade",519461,21721133
"62","The Twilight Saga: New Moon","/movies/?id=newmoon.htm",296623634,"Summit Entertainment","November","Romance",130,"PG-13",50,"Chris Weitz",321218,6318586
"63","Harry Potter and the Deathly Hallows Part 1","/movies/?id=harrypotter7.htm",295983305,"Warner Bros.","November","Fantasy",150,"PG-13",NA,"David Yates",336490,297095
"64","The Sixth Sense","/movies/?id=sixthsense.htm",293506292,"Buena Vista","August","Horror",107,"PG-13",40,"M. Night Shyamalan",981550,2282313
"65","Up","/movies/?id=up.htm",293004164,"Buena Vista","May","Animation",96,"PG",175,"Pete Docter",18024797,811215
"66","Inception","/movies/?id=inception.htm",292576195,"Warner Bros.","July","Sci-Fi Action",148,"PG-13",160,"Christopher Nolan",11050027,2412737
"67","The Twilight Saga: Breaking Dawn Part 2","/movies/?id=breakingdawn2.htm",292324737,"Lionsgate/Summit","November","Romance",116,"PG-13",120,"Bill Condon",216337,225695
"68","Harry Potter and the Order of the Phoenix","/movies/?id=harrypotter5.htm",292004738,"Warner Bros.","July","Fantasy",139,"PG-13",150,"David Yates",602424,485851
"69","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","/movies/?id=narnia.htm",291710957,"Buena Vista","December","Fantasy",132,"PG",180,"Andrew Adamson",115987,703232
"70","Man of Steel","/movies/?id=superman2012.htm",291045518,"Warner Bros.","June","Action / Adventure",143,"PG-13",225,"Zack Snyder",3933926,41346841
"71","Harry Potter and the Goblet of Fire","/movies/?id=harrypotter4.htm",290013036,"Warner Bros.","November","Fantasy",153,"PG-13",150,"Mike Newell",504317,773677
"72","The Hunger Games: Mockingjay - Part 2","/movies/?id=hungergames4.htm",281723902,"Lionsgate","November","Action / Adventure",137,"PG-13",160,"Francis Lawrence",96867,21270796
"73","The Matrix Reloaded","/movies/?id=matrixreloaded.htm",281576461,"Warner Bros.","May","Sci-Fi Action",138,"R",150,"Lilly & Lana Wachowski",342002,544493
"74","The Twilight Saga: Breaking Dawn Part 1","/movies/?id=breakingdawn.htm",281287133,"Summit Entertainment","November","Romance",108,"PG-13",110,"Bill Condon",66187,8377830
"75","Meet the Fockers","/movies/?id=meetthefockers.htm",279261160,"Universal","December","Comedy",114,"PG-13",80,"Jay Roach",684286,77714
"76","The Hangover","/movies/?id=hangover.htm",277322503,"Warner Bros.","June","Comedy",96,"R",35,"Todd Phillips",21337310,1072069
"77","Gravity","/movies/?id=gravity.htm",274092705,"Warner Bros.","October","Sci-Fi Thriller",91,"PG-13",100,"Alfonso Cuaron",18611,14905388
"78","Sing","/movies/?id=illumination2016.htm",270329045,"Universal","December","Animation",110,"PG",75,"Garth Jennings",3196455,6404714
"79","Monsters University","/movies/?id=monstersinc2.htm",268492764,"Buena Vista","June","Animation",107,"G",NA,"Dan Scanlon",5270996,3267385
"80","Shrek","/movies/?id=shrek.htm",267665011,"DreamWorks","May","Animation",90,"PG",60,"Andrew Adamson",3279,3550405
"81","The Amazing Spider-Man","/movies/?id=spiderman4.htm",262030663,"Sony / Columbia","July","Action / Adventure",136,"PG-13",230,"Marc Webb",4340,13476495
"82","Harry Potter and the Chamber of Secrets","/movies/?id=harrypotter2.htm",261988482,"Warner Bros.","November","Fantasy",161,"PG",100,"Chris Columbus",1302548,328383
"83","The Incredibles","/movies/?id=incredibles.htm",261441092,"Buena Vista","November","Animation",115,"PG",92,"Brad Bird",7346433,1539573
"84","How the Grinch Stole Christmas","/movies/?id=grinch.htm",260044825,"Universal","November","Family Comedy",104,"PG",123,"Ron Howard",770901,1901593
"85","Captain America: The Winter Soldier","/movies/?id=marvel14b.htm",259766572,"Buena Vista","April","Action / Adventure",136,"PG-13",170,"Anthony Russo",112245,26961589
"86","The Hobbit: The Desolation of Smaug","/movies/?id=hobbit2.htm",258366855,"Warner Bros. (New Line)","December","Fantasy",161,"PG-13",NA,"Peter Jackson",267959,13969587
"87","The LEGO Movie","/movies/?id=lego.htm",257760692,"Warner Bros.","February","Animation",100,"PG",60,"Phil Lord",1987989,31344182
"88","Star Trek","/movies/?id=startrek11.htm",257730019,"Paramount","May","Sci-Fi Adventure",126,"PG-13",150,"J.J. Abrams",3666291,954567
"89","I Am Legend","/movies/?id=iamlegend.htm",256393010,"Warner Bros.","December","Sci-Fi Horror",100,"PG-13",150,"Francis Lawrence",7963099,716708
"90","The Blind Side","/movies/?id=blindside.htm",255959475,"Warner Bros.","November","Sports Drama",126,"PG-13",29,"John Lee Hancock",8522059,1521664
"91","Monsters, Inc.","/movies/?id=monstersinc.htm",255873250,"Buena Vista","November","Animation",90,"G",115,"Pete Docter",14250189,6119167
"92","The Hobbit: The Battle of the Five Armies","/movies/?id=hobbit3.htm",255119788,"Warner Bros. (New Line)","December","Fantasy",144,"PG-13",NA,"Peter Jackson",152892,21268117
"93","The Hangover Part II","/movies/?id=hangover2.htm",254464305,"Warner Bros.","May","Comedy",102,"R",80,"Todd Phillips",1731549,3971818
"94","Despicable Me","/movies/?id=despicableme.htm",251513985,"Universal","July","Animation",95,"PG",69,"Pierre Coffin",18004866,13415398
"95","Night at the Museum","/movies/?id=nightatthemuseum.htm",250863268,"Fox","December","Family Adventure",108,"PG",NA,"Shawn Levy",2144073,81719
"96","Men in Black","/movies/?id=meninblack.htm",250690539,"Sony / Columbia","July","Sci-Fi Comedy",97,"PG-13",90,"Barry Sonnenfeld",8256020,401917
"97","Harry Potter and the Prisoner of Azkaban","/movies/?id=harrypotter3.htm",249541069,"Warner Bros.","June","Fantasy",142,"PG",130,"Alfonso Cuaron",1372739,1052838
"98","Moana","/movies/?id=disney1116.htm",248757044,"Buena Vista","November","Animation",103,"PG",NA,"Ron Clements",2016982,29126607
"99","Toy Story 2","/movies/?id=toystory2.htm",245852179,"Buena Vista","November","Animation",92,"G",90,"John Lasseter",2924694,3317290
"100","Transformers: Age of Extinction","/movies/?id=transformers4.htm",245439076,"Paramount","June","Sci-Fi Action",165,"PG-13",210,"Michael Bay",351894,9605964
"101","Cars","/movies/?id=cars.htm",244082982,"Buena Vista","June","Animation",116,"G",120,"John Lasseter",16656400,3004605
"102","Bruce Almighty","/movies/?id=brucealmighty.htm",242829261,"Universal","May","Fantasy Comedy",101,"PG-13",81,"Tom Shadyac",2687190,277673
"103","Twister","/movies/?id=twister.htm",241721524,"Warner Bros.","May","Action Drama",113,"PG-13",92,"Jan DeBont",6902,218069
"104","My Big Fat Greek Wedding","/movies/?id=mybigfatgreekwedding.htm",241438208,"IFC","April","Romantic Comedy",95,"PG",5,NA,944419,485161
"105","Maleficent","/movies/?id=maleficient.htm",241410378,"Buena Vista","May","Fantasy",97,"PG",180,"Robert Stromberg",7965207,17649169
"106","Pirates of the Caribbean: On Stranger Tides","/movies/?id=piratesofthecaribbean4.htm",241071802,"Buena Vista","May","Period Adventure",137,"PG-13",250,"Rob Marshall",1733711,10830990
"107","Shrek Forever After","/movies/?id=shrek4.htm",238736787,"Paramount (DreamWorks)","May","Animation",93,"PG",165,"Mike Mitchell",3750250,6692999
"108","Fast & Furious 6","/movies/?id=fast6.htm",238679850,"Universal","May","Action",130,"PG-13",160,"Justin Lin",86627,80735179
"109","Brave","/movies/?id=bearandthebow.htm",237283207,"Buena Vista","June","Animation",100,"PG",185,"Mark Andrews",8575914,16977961
"110","Oz The Great and Powerful","/movies/?id=oz.htm",234911825,"Buena Vista","March","Adventure",127,"PG",215,"Sam Raimi",1311857,6618326
"111","X-Men: The Last Stand","/movies/?id=x3.htm",234362462,"Fox","May","Action / Adventure",104,"PG-13",210,"Brett Ratner",983125,421134
"112","War of the Worlds","/movies/?id=waroftheworlds.htm",234280354,"Paramount","June","Sci-Fi Horror",117,"PG-13",132,"Steven Spielberg",541274,450953
"113","Fantastic Beasts and Where To Find Them","/movies/?id=fantasticbeasts.htm",234037575,"Warner Bros.","November","Fantasy",140,"PG-13",180,"David Yates",0,14733364
"114","X-Men: Days of Future Past","/movies/?id=xmen2014.htm",233921534,"Fox","May","Action / Adventure",131,"PG-13",200,"Bryan Singer",206473,34224985
"115","Cast Away","/movies/?id=castaway.htm",233632142,"Fox","December","Drama",143,"PG-13",90,"Robert Zemeckis",1194251,3198442
"116","Doctor Strange","/movies/?id=marvel716.htm",232641920,"Buena Vista","November","Action / Adventure",115,"PG-13",165,"Scott Derrickson",1180319,33259330
"117","The Lost World: Jurassic Park","/movies/?id=jurassicpark2.htm",229086679,"Universal","May","Sci-Fi Horror",129,"PG-13",73,"Steven Spielberg",2311,783558
"118","Star Trek Into Darkness","/movies/?id=startrek12.htm",228778661,"Paramount","May","Sci-Fi Adventure",123,"PG-13",190,"J.J. Abrams",42566,6399854
"119","The Martian","/movies/?id=scott2016.htm",228433663,"Fox","October","Sci-Fi",141,"PG-13",108,"Ridley Scott",692251,14432782
"120","Signs","/movies/?id=signs.htm",227966634,"Buena Vista","August","Sci-Fi Horror",107,"PG-13",72,"M. Night Shyamalan",49041,193572
"121","Hancock","/movies/?id=hancock.htm",227946274,"Sony / Columbia","July","Fantasy Drama",92,"PG-13",150,"Peter Berg",122134,440220
"122","The Bourne Ultimatum","/movies/?id=bourneultimatum.htm",227471070,"Universal","August","Action Thriller",111,"PG-13",110,"Paul Greengrass",14933,854338
"123","Logan","/movies/?id=wolverine2017.htm",226209526,"Fox","March","Action / Adventure",135,"R",97,"James Mangold",11093782,25514426
"124","Rush Hour 2","/movies/?id=rushhour2.htm",226164286,"New Line","August","Action Comedy",90,"PG-13",90,"Brett Ratner",1250196,385636
"125","The Fate of the Furious","/movies/?id=furious8.htm",224064865,"Universal","April","Action",136,"PG-13",250,"F. Gary Gray",270396,17275431
"126","WALL-E","/movies/?id=wall-e.htm",223808164,"Buena Vista","June","Animation",97,"G",180,"Andrew Stanton",10574902,482502
"127","Big Hero 6","/movies/?id=disney2014.htm",222527828,"Buena Vista","November","Animation",108,"PG",165,"Don Hall",2481055,18961583
"128","National Treasure: Book of Secrets","/movies/?id=nationaltreasure2.htm",219964115,"Buena Vista","December","Adventure",124,"PG",NA,"Jon Turteltaub",164354,311823
"129","Alvin and the Chipmunks: The Squeakquel","/movies/?id=alvinandthechipmunksii.htm",219614612,"Fox","December","Family Comedy",88,"PG",75,"Betty Thomas",88354,5358969
"130","Ted","/movies/?id=ted.htm",218815487,"Universal","June","Comedy",106,"R",50,"Seth MacFarlane",10123603,20924331
"131","King Kong","/movies/?id=kingkong05.htm",218080025,"Universal","December","Period Adventure",187,"PG-13",207,"Peter Jackson",3793327,16113267
"132","How to Train Your Dragon","/movies/?id=howtotrainyourdragon.htm",217581231,"Paramount (DreamWorks)","March","Animation",98,"PG",165,"Dean DeBlois",9772828,4450590
"133","The Da Vinci Code","/movies/?id=davincicode.htm",217536138,"Sony / Columbia","May","Thriller",149,"PG-13",125,"Ron Howard",3488040,18079
"134","Alvin and the Chipmunks","/movies/?id=alvinandthechipmunks.htm",217326974,"Fox","December","Family Comedy",92,"PG",60,"Tim Hill",17779477,4817902
"135","Saving Private Ryan","/movies/?id=savingprivateryan.htm",216540909,"DreamWorks","July","War",170,"R",70,"Steven Spielberg",2841458,1930494
"136","Madagascar 3: Europe's Most Wanted","/movies/?id=madagascar3.htm",216391482,"Paramount (DreamWorks)","June","Animation",93,"PG",145,"Eric Darnell",42817,674773
"137","Kung Fu Panda","/movies/?id=kungfupanda.htm",215434591,"Paramount (DreamWorks)","June","Animation",91,"PG",130,NA,22709670,894286
"138","Mission: Impossible II","/movies/?id=mi2.htm",215409889,"Paramount","May","Action",123,"PG-13",125,"John Woo",196009,441027
"139","X2: X-Men United","/movies/?id=x2.htm",214949694,"Fox","May","Action / Adventure",134,"PG-13",110,"Bryan Singer",15707,390676
"140","Dr. Seuss' The Lorax","/movies/?id=lorax.htm",214030500,"Universal","March","Animation",95,"PG",70,"Chris Renaud",2368440,6432057
"141","Austin Powers in Goldmember","/movies/?id=austinpowers3.htm",213307889,"New Line","July","Comedy",94,"PG-13",63,"Jay Roach",139980,22068
"142","300","/movies/?id=300.htm",210614939,"Warner Bros.","March","Period Action",117,"R",65,"Zack Snyder",10622808,2656113
"143","Fast Five","/movies/?id=fastfive.htm",209837675,"Universal","April","Action",130,"PG-13",125,"Justin Lin",24294,1144119
"144","Mission: Impossible - Ghost Protocol","/movies/?id=mi4.htm",209397903,"Paramount","December","Action",132,"PG-13",145,"Brad Bird",24327,332690
"145","Wedding Crashers","/movies/?id=weddingcrashers.htm",209255921,"New Line","July","Comedy",113,"R",40,"David Dobkin",2443467,1083123
"146","Sherlock Holmes","/movies/?id=sherlockholmes.htm",209028679,"Warner Bros.","December","Adventure",134,"PG-13",90,"Guy Ritchie",9806625,671132
"147","Dawn of the Planet of the Apes","/movies/?id=dawnoftheapes.htm",208545589,"Fox","July","Sci-Fi Action",130,"PG-13",170,"Matt Reeves",3946537,11597161
"148","Charlie and the Chocolate Factory","/movies/?id=charliechocolate.htm",206459076,"Warner Bros.","July","Family Adventure",106,"PG",150,"Tim Burton",4850909,1306521
"149","Ratatouille","/movies/?id=ratatouille.htm",206445654,"Buena Vista","June","Animation",111,"G",150,"Brad Bird",15097340,577169
"150","Thor: The Dark World","/movies/?id=thor2.htm",206362140,"Buena Vista","November","Action / Adventure",120,"PG-13",170,"Alan Taylor",67905,16857922
"151","Austin Powers: The Spy Who Shagged Me","/movies/?id=austinpowers2.htm",206040086,"New Line","June","Comedy",95,"PG-13",33,"Jay Roach",183214,161880
"152","Batman Begins","/movies/?id=batmanbegins.htm",205343774,"Warner Bros.","June","Action / Adventure",140,"PG-13",150,"Christopher Nolan",3998829,1224886
"153","The Amazing Spider-Man 2","/movies/?id=amazingspiderman2.htm",202853933,"Sony / Columbia","May","Action / Adventure",142,"PG-13",NA,"Marc Webb",24498,13774548
"154","World War Z","/movies/?id=worldwarz.htm",202359711,"Paramount","June","Action Horror",116,"PG-13",190,"Marc Forster",2697614,11773667
"155","The Mummy Returns","/movies/?id=mummyreturns.htm",202019785,"Universal","May","Period Adventure",130,"PG-13",98,"Stephen Sommers",277376,366531
"156","Armageddon","/movies/?id=armageddon.htm",201578182,"Buena Vista","July","Sci-Fi Action",144,"PG-13",140,"Michael Bay",3141,874090
"157","Cinderella (2015)","/movies/?id=cinderella2015.htm",201151353,"Buena Vista","March","Fantasy",112,"PG",95,"Kenneth Branagh",5771,2690600
"158","Tangled","/movies/?id=rapunzel.htm",200821936,"Buena Vista","November","Animation",100,"PG",260,"Nathan Greno",17838283,4406170
"159","Godzilla (2014)","/movies/?id=godzilla2012.htm",200676069,"Warner Bros.","May","Sci-Fi Action",123,"PG-13",160,"Gareth Edwards",124333,36579770
"160","Superman Returns","/movies/?id=superman06.htm",200081192,"Warner Bros.","June","Action / Adventure",154,"PG-13",270,"Bryan Singer",1216434,980380
"161","Spectre","/movies/?id=bond24.htm",200074609,"Sony / Columbia","November","Action",148,"PG-13",245,"Sam Mendes",841850,14071380
"162","Pearl Harbor","/movies/?id=pearlharbor.htm",198542554,"Buena Vista","May","War",183,"PG-13",140,"Michael Bay",9953,999588
"163","Monsters Vs. Aliens","/movies/?id=monstersvsaliens.htm",198351526,"Paramount (DreamWorks)","March","Animation",94,"PG",175,"Rob Letterman",4442688,699099
"164","Happy Feet","/movies/?id=happyfeet.htm",198000317,"Warner Bros.","November","Animation",108,"PG",100,"George Miller",175032,321714
"165","Ice Age: Dawn of the Dinosaurs","/movies/?id=iceage3.htm",196573705,"Fox","July","Animation",87,"PG",90,"Carlos Saldanha",85410,1426812
"166","Ice Age: The Meltdown","/movies/?id=iceage2.htm",195330621,"Fox","March","Animation",90,"PG",80,"Carlos Saldanha",42955,201104
"167","Mission: Impossible - Rogue Nation","/movies/?id=mi5.htm",195042377,"Paramount","July","Action",130,"PG-13",150,"Christopher McQuarrie",107584,12510994
"168","Madagascar","/movies/?id=madagascar.htm",193595521,"DreamWorks","May","Animation",86,"PG",NA,"Eric Darnell",19353689,424747
"169","Twilight","/movies/?id=twilight08.htm",192769854,"Summit Entertainment","November","Romance",120,"PG-13",37,"Catherine Hardwicke",45718305,10466908
"170","22 Jump Street","/movies/?id=21jumpstreet2.htm",191719337,"Sony / Columbia","June","Action Comedy",112,"R",50,"Phil Lord",109472,6119413
"171","Cars 2","/movies/?id=cars2.htm",191452396,"Buena Vista","June","Animation",113,"G",200,"John Lasseter",1417442,29061016
"172","Teenage Mutant Ninja Turtles (2014)","/movies/?id=tmnt2013.htm",191204754,"Paramount","August","Action / Adventure",101,"PG-13",125,"Jonathan Liebesman",6221,4381018
"173","Men in Black II","/movies/?id=meninblack2.htm",190418803,"Sony / Columbia","July","Sci-Fi Comedy",88,"PG-13",140,"Barry Sonnenfeld",3356595,108916
"174","Wreck-It Ralph","/movies/?id=rebootralph.htm",189422889,"Buena Vista","November","Animation",108,"PG",165,"Rich Moore",3219586,8821639
"175","Interstellar","/movies/?id=interstellar.htm",188020017,"Paramount","November","Sci-Fi Adventure",169,"PG-13",165,"Christopher Nolan",1863965,17105224
"176","Gladiator","/movies/?id=gladiator.htm",187705427,"DreamWorks","May","Historical Epic",155,"R",103,"Ridley Scott",10444378,771743
"177","The Croods","/movies/?id=croods.htm",187168425,"Fox","March","Animation",98,"PG",135,"Kirk De Micco",2447694,7178131
"178","Sherlock Holmes: A Game of Shadows","/movies/?id=sherlockholmes2.htm",186848418,"Warner Bros.","December","Adventure",128,"PG-13",NA,"Guy Ritchie",666838,995554
"179","The Day After Tomorrow","/movies/?id=dayaftertomorrow.htm",186740799,"Fox","May","Action Drama",124,"PG-13",125,"Roland Emmerich",1093736,1166236
"180","Mr. & Mrs. Smith","/movies/?id=mrandmrssmith.htm",186336279,"Fox","June","Action Comedy",115,"PG-13",110,"Doug Liman",72014227,262084
"181","Pitch Perfect 2","/movies/?id=pitchperfect2.htm",184296230,"Universal","May","Comedy",115,"PG-13",29,"Elizabeth Banks",156239,26448518
"182","The Revenant","/movies/?id=revenant.htm",183637894,"Fox","December","Action / Adventure",151,"R",135,"Alejandro González Iñárritu",1087169,24846458
"183","Ocean's Eleven","/movies/?id=oceanseleven.htm",183417150,"Warner Bros.","December","Crime Comedy",116,"PG-13",85,"Steven Soderbergh",1222265,556943
