"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"1048","Shanghai Noon","/movies/?id=shanghainoon.htm",56937502,"Buena Vista","May","Western Comedy",110,"PG-13",55,"Tom Dey"
"1049","The Time Machine","/movies/?id=timemachine.htm",56832494,"DreamWorks","March","Sci-Fi Adventure",96,"PG-13",80,"Simon Wells"
"1050","Midnight in Paris","/movies/?id=midnightinparis.htm",56817045,"Sony Classics","May","Romantic Comedy",88,"PG-13",17,"Woody Allen"
"1051","Saw V","/movies/?id=saw5.htm",56746769,"Lionsgate","October","Horror",88,"R",108,"David Hackl"
"1052","A Civil Action","/movies/?id=civilaction.htm",56709981,"Buena Vista","December","Drama / Thriller",115,"PG-13",75,"Steven Zaillian"
"1053","12 Years a Slave","/movies/?id=twelveyearsaslave.htm",56671993,"Fox Searchlight","October","Drama",133,"R",20,"Steve McQueen (II)"
"1054","Rat Race","/movies/?id=ratrace.htm",56618055,"Paramount","August","Comedy",112,"PG-13",NA,"Jerry Zucker"
"1055","A Knight's Tale","/movies/?id=aknightstale.htm",56569702,"Sony / Columbia","May","Period Action",132,"PG-13",65,"Brian Helgeland"
"1056","Executive Decision","/movies/?id=executivedecision.htm",56569216,"Warner Bros.","March","Action Thriller",133,"R",NA,NA
"1057","Joy","/movies/?id=joy.htm",56451232,"Fox","December","Comedy / Drama",124,"PG-13",60,"David O. Russell"
"1058","The Queen","/movies/?id=queen.htm",56441711,"Miramax","September","Historical Drama",97,"PG-13",NA,"Stephen Frears"
"1059","Drumline","/movies/?id=drumline.htm",56399184,"Fox","December","Music Drama",118,"PG-13",20,"Charles Stone III"
"1060","White Noise","/movies/?id=whitenoise.htm",56386759,"Universal","January","Horror",101,"PG-13",NA,"Geoffrey Sax"
"1061","Once Upon a Time in Mexico","/movies/?id=onceuponatimeinmexico.htm",56359780,"Sony / Columbia","September","Action",97,"R",29,"Robert Rodriguez"
"1062","Dracula Untold","/movies/?id=dracula.htm",56280355,"Universal","October","Action Horror",92,"PG-13",70,"Gary Shore"
"1063","Me Before You","/movies/?id=mebeforeyou.htm",56245075,"Warner Bros. (New Line)","June","Romance",110,"PG-13",20,NA
"1064","Just Married","/movies/?id=justmarried.htm",56127162,"Fox","January","Romantic Comedy",95,"PG-13",18,"Shawn Levy"
"1065","Fantastic Four","/movies/?id=fantasticfour15.htm",56117548,"Fox","August","Action / Adventure",100,"PG-13",120,"Josh Trank"
"1066","Primal Fear","/movies/?id=primalfear.htm",56116183,"Paramount","April","Drama / Thriller",130,"R",NA,"Gregory Hoblit"
"1067","Wallace and Gromit: The Curse of the Were-Rabbit","/movies/?id=wallaceandgromit05.htm",56110897,"DreamWorks","October","Animation",85,"G",30,NA
"1068","Be Cool","/movies/?id=becool.htm",56046979,"MGM","March","Crime Comedy",104,"PG-13",53,"F. Gary Gray"
"1069","ParaNorman","/movies/?id=paranorman.htm",56003051,"Focus Features","August","Animation",93,"PG",60,"Chris Butler"
"1070","Romeo Must Die","/movies/?id=romeomustdie.htm",55973336,"Warner Bros.","March","Action",115,"R",25,"Andrzej Bartkowiak"
"1071","Friends with Benefits","/movies/?id=friendswithbenefits10.htm",55802754,"Sony / Screen Gems","July","Comedy",120,"R",35,"Will Gluck"
"1072","Free Birds","/movies/?id=turkeys.htm",55750480,"Relativity","November","Animation",90,"PG",55,"Jimmy Hayward"
"1073","Hansel and Gretel: Witch Hunters","/movies/?id=hanselandgretelwitchhunters.htm",55703475,"Paramount","January","Action Comedy",88,"R",50,"Tommy Wirkola"
"1074","Eyes Wide Shut","/movies/?id=eyeswideshut.htm",55691208,"Warner Bros.","July","Drama / Thriller",159,"R",65,"Stanley Kubrick"
"1075","Legend of the Guardians: The Owls of Ga'Hoole","/movies/?id=guardiansofgahoole.htm",55675313,"Warner Bros.","September","Animation",90,"PG",80,"Zack Snyder"
"1076","Snake Eyes","/movies/?id=snakeeyes.htm",55591409,"Paramount","August","Thriller",98,"R",73,"Brian De Palma"
"1077","The BFG","/movies/?id=bfg.htm",55483770,"Buena Vista","July","Adventure",117,"PG",140,"Steven Spielberg"
"1078","Never Been Kissed","/movies/?id=neverbeenkissed.htm",55474756,"Fox","April","Romantic Comedy",107,"PG-13",25,"Raja Gosnell"
"1079","Neighbors 2: Sorority Rising","/movies/?id=universalcomedy2016.htm",55455765,"Universal","May","Comedy",91,"R",NA,"Nick Stoller"
"1080","The Haunting in Connecticut","/movies/?id=hauntinginconnecticut.htm",55389516,"Lionsgate","March","Horror",92,"PG-13",NA,NA
"1081","What Dreams May Come","/movies/?id=whatdreamsmaycome.htm",55382927,"PolyGram","October","Fantasy Drama",114,"PG-13",85,NA
"1082","Ghosts of Girlfriends Past","/movies/?id=ghostsofgirlfriendspast.htm",55250026,"Warner Bros. (New Line)","May","Fantasy Comedy",100,"PG-13",NA,"Mark S. Waters"
"1083","Tyler Perry's Why Did I Get Married?","/movies/?id=whydidigetmarried.htm",55204525,"Lionsgate","October","Comedy",118,"PG-13",NA,"Tyler Perry"
"1084","Saw","/movies/?id=saw.htm",55185045,"Lions Gate","October","Horror",100,"R",12,"James Wan"
"1085","The Shallows","/movies/?id=theshallows.htm",55124043,"Sony / Columbia","June","Horror",85,"PG-13",17,"Jaume Collet-Serra"
"1086","I Am Number Four","/movies/?id=iamnumberfour.htm",55100437,"Buena Vista","February","Sci-Fi Adventure",104,"PG-13",60,"D.J. Caruso"
"1087","Halloween: H20","/movies/?id=halloween7.htm",55041738,"Dimension Films","August","Horror",86,"R",17,NA
"1088","The Guardian","/movies/?id=guardian06.htm",55011732,"Buena Vista","September","Action Drama",135,"PG-13",NA,"Andrew Davis"
"1089","Don't Say a Word","/movies/?id=dontsayaword.htm",55001642,"Fox","September","Thriller",113,"R",50,NA
"1090","The Jackal","/movies/?id=jackal.htm",54930280,"Universal","November","Action Thriller",125,"R",60,"Michael Caton-Jones"
"1091","Spawn","/movies/?id=spawn.htm",54870175,"New Line","August","Action Horror",93,"PG-13",40,NA
"1092","Starship Troopers","/movies/?id=starshiptroopers.htm",54814377,"Sony / Columbia","November","Sci-Fi Action",130,"R",105,"Paul Verhoeven"
"1093","Office Christmas Party","/movies/?id=officechristmasparty.htm",54767494,"Paramount","December","Comedy",105,"R",45,"Josh Gordon"
"1094","This Means War","/movies/?id=thismeanwar.htm",54760791,"Fox","February","Action",97,"PG-13",65,"McG"
"1095","Project X","/movies/?id=projectx2011.htm",54731865,"Warner Bros.","March","Comedy",88,"R",NA,"Nima Nourizadeh"
"1096","Source Code","/movies/?id=sourcecode.htm",54712227,"Summit Entertainment","April","Sci-Fi Thriller",94,"PG-13",32,"Duncan Jones"
"1097","Small Soldiers","/movies/?id=smallsoldiers.htm",54682547,"DreamWorks","July","Family Comedy",110,"PG-13",NA,NA
"1098","Assassin's Creed","/movies/?id=assassinscreed.htm",54647948,"Fox","December","Action",140,"PG-13",125,"Justin Kurzel"
"1099","The Omen (2006)","/movies/?id=omen666.htm",54607383,"Fox","June","Horror",105,"R",25,"John Moore"
"1100","Crash","/movies/?id=crash05.htm",54580300,"Lions Gate","May","Drama",100,"R",65,"Paul Haggis"
"1101","New Year's Eve","/movies/?id=newyearseve.htm",54544638,"Warner Bros. (New Line)","December","Romantic Comedy",117,"PG-13",56,"Garry Marshall"
"1102","Horrible Bosses 2","/movies/?id=horriblebosses2.htm",54445357,"Warner Bros.","November","Comedy",108,"R",42,"Sean Anders"
"1103","The Woman in Black","/movies/?id=womaninblack.htm",54333290,"CBS Films","February","Horror Thriller",95,"PG-13",NA,"James Watkins"
"1104","The Hundred-Foot Journey","/movies/?id=100foot.htm",54240821,"Buena Vista","August","Drama",122,"PG",22,"Lasse Hallstrom"
"1105","Evil Dead (2013)","/movies/?id=evildead2013.htm",54239856,"TriStar","April","Horror",91,"R",17,"Fede Alvarez"
"1106","The Count of Monte Cristo","/movies/?id=countmontecristo.htm",54234062,"Buena Vista","January","Period Adventure",131,"PG-13",35,"Kevin Reynolds"
"1107","TMNT","/movies/?id=tmntcg.htm",54149098,"Warner Bros.","March","Animation",90,"PG",34,"Kevin Munroe"
"1108","The Hateful Eight","/movies/?id=thehatefuleight.htm",54117416,"Weinstein Company","December","Western",167,"R",44,"Quentin Tarantino"
"1109","Final Destination 3","/movies/?id=finaldestination3.htm",54098051,"New Line","February","Horror",115,"R",25,"James Wong"
"1110","Barbershop: The Next Cut","/movies/?id=barbershop3.htm",54030051,"Warner Bros. (New Line)","April","Comedy",112,"PG-13",NA,"Malcolm D. Lee"
"1111","Insidious","/movies/?id=insidious.htm",54009150,"FilmDistrict","April","Horror",98,"PG-13",15,"James Wan"
"1112","Paranormal Activity 4","/movies/?id=paranormalactivity4.htm",53900335,"Paramount","October","Horror",95,"R",5,"Henry Joost"
"1113","Austin Powers: International Man of Mystery","/movies/?id=austinpowers.htm",53883989,"New Line","May","Comedy",100,"PG-13",165,"Jay Roach"
"1114","Focus (2015)","/movies/?id=focus2015.htm",53862963,"Warner Bros.","February","Comedy",104,"R",501,"Glenn Ficarra"
"1115","Tin Cup","/movies/?id=tincup.htm",53854588,"Warner Bros.","August","Sports Comedy",135,"R",NA,NA
"1116","Paycheck","/movies/?id=paycheck.htm",53790451,"Paramount","December","Sci-Fi Action",119,"PG-13",60,"John Woo"
"1117","Hero","/movies/?id=hero02.htm",53710019,"Miramax","August","Foreign / Action",99,"PG-13",31,"Zhang Yimou"
"1118","P.S. I Love You","/movies/?id=psiloveyou.htm",53695808,"Warner Bros.","December","Romance",126,"PG-13",30,"Richard LaGravenese"
"1119","3:10 to Yuma (2007)","/movies/?id=310toyuma.htm",53606916,"Lionsgate","September","Western",117,"R",55,"James Mangold"
"1120","Yours, Mine and Ours","/movies/?id=yoursmineandours.htm",53412862,"Paramount","November","Family Comedy",90,"PG",45,"Raja Gosnell"
"1121","Life as We Know It","/movies/?id=lifeasweknowit.htm",53374681,"Warner Bros.","October","Comedy",112,"PG-13",38,"Greg Berlanti"
"1122","Tim Burton's Corpse Bride","/movies/?id=corpsebride.htm",53359111,"Warner Bros.","September","Animation",74,"PG",NA,"Tim Burton"
"1123","T-Rex: Back to the Cretaceous (IMAX)","/movies/?id=treximax.htm",53354743,"IMAX","October","IMAX",45,"Unrated",NA,NA
"1124","Tyler Perry's Madea's Big Happy Family","/movies/?id=madeasbighappyfamily.htm",53345287,"Lionsgate","April","Comedy",105,"PG-13",NA,"Tyler Perry"
"1125","Final Destination","/movies/?id=finaldestination.htm",53331147,"New Line","March","Horror",98,"R",23,"James Wong"
"1126","Sleepers","/movies/?id=sleepers.htm",53315285,"Warner Bros.","October","Crime Drama",148,"R",NA,"Barry Levinson"
"1127","Red 2","/movies/?id=red2.htm",53262560,"Lionsgate/Summit","July","Action Comedy",116,"PG-13",84,"Dean Parisot"
"1128","The Devil Inside","/movies/?id=devilinside.htm",53261944,"Paramount","January","Horror",87,"R",1e+06,"William Brent Bell"
"1129","The Prestige","/movies/?id=prestige.htm",53089891,"Buena Vista","October","Fantasy Drama",135,"PG-13",40,"Christopher Nolan"
"1130","Letters to Juliet","/movies/?id=letterstojuliet.htm",53032453,"Summit Entertainment","May","Romance",105,"PG",30,"Gary Winick"
"1131","Blow","/movies/?id=blow.htm",52990775,"New Line","April","Crime Drama",124,"R",53,NA
"1132","Sweeney Todd: The Demon Barber of Fleet Street","/movies/?id=sweeneytodd.htm",52898073,"Paramount (DreamWorks)","December","Musical",116,"R",50,"Tim Burton"
"1133","Varsity Blues","/movies/?id=varsityblues.htm",52894169,"Paramount","January","Sports Drama",104,"R",16,"Brian Robbins"
"1134","Forces of Nature","/movies/?id=forcesofnature.htm",52888180,"DreamWorks","March","Romantic Comedy",105,"PG-13",75,NA
"1135","Message in a Bottle","/movies/?id=messageinabottle.htm",52880016,"Warner Bros.","February","Romance",131,"PG-13",80,NA
"1136","13 Hours: The Secret Soldiers of Benghazi","/movies/?id=13hoursthesecretsoldiersofbenghazi.htm",52853219,"Paramount","January","Drama",144,"R",50,"Michael Bay"
"1137","Kicking and Screaming","/movies/?id=kickingandscreaming.htm",52842724,"Universal","May","Sports Comedy",96,"PG",45,NA
"1138","The Recruit","/movies/?id=recruit.htm",52802140,"Buena Vista","January","Action Thriller",105,"PG-13",NA,"Roger Donaldson"
"1139","Unfaithful","/movies/?id=unfaithful.htm",52775765,"Fox","May","Romantic Thriller",100,"R",50,NA
"1140","Diary of a Wimpy Kid: Rodrick Rules","/movies/?id=diaryofawimpykid2.htm",52698535,"Fox","March","Comedy",96,"PG",21,"David Bowers"
"1141","The Strangers","/movies/?id=strangers.htm",52597610,"Rogue Pictures","May","Thriller",107,"R",9,"Bryan Bertino"
"1142","No Good Deed (2014)","/movies/?id=nogooddeed13.htm",52543632,"Sony / Screen Gems","September","Thriller",84,"PG-13",132,"Sam Miller"
"1143","Tyler Perry's A Madea Christmas","/movies/?id=madeachristmas.htm",52543354,"Lionsgate","December","Comedy",105,"PG-13",NA,"Tyler Perry"
"1144","Wall Street: Money Never Sleeps","/movies/?id=wallstreet2.htm",52474616,"Fox","September","Drama",127,"PG-13",70,"Oliver Stone"
"1145","Southpaw","/movies/?id=southpaw2015.htm",52421953,"Weinstein Company","July","Drama",123,"R",30,"Antoine Fuqua"
"1146","Blade: Trinity","/movies/?id=blade3.htm",52411906,"New Line","December","Action Horror",114,"R",65,"David S. Goyer"
"1147","The Royal Tenenbaums","/movies/?id=royaltenenbaums.htm",52364010,"Buena Vista","December","Comedy",109,"R",21,"Wes Anderson"
"1148","Radio","/movies/?id=radio.htm",52333738,"Sony (Revolution)","October","Sports Drama",105,"PG",35,NA
"1149","The Lake House","/movies/?id=lakehouse.htm",52330111,"Warner Bros.","June","Romance",105,"PG",40,NA
"1150","Fantasia 2000 (IMAX)","/movies/?id=fantasia2000imax.htm",52260454,"Buena Vista","January","IMAX",75,"G",NA,NA
"1151","Insidious Chapter 3","/movies/?id=insidiouschapter3.htm",52218558,"Focus Features","June","Horror",97,"PG-13",10,"Leigh Whannell"
"1152","Identity","/movies/?id=identity.htm",52159536,"Sony / Columbia","April","Thriller",87,"R",28,"James Mangold"
"1153","Selma","/movies/?id=selma.htm",52076908,"Paramount","December","Drama",127,"PG-13",20,"Ava DuVernay"
"1154","The Forbidden Kingdom","/movies/?id=forbiddenkingdom.htm",52075270,"Lionsgate","April","Action",113,"PG-13",NA,"Rob Minkoff"
"1155","South Park - Bigger, Longer and Uncut","/movies/?id=southpark.htm",52037603,"Paramount","June","Animation",80,"R",21,"Trey Parker"
"1156","Predators","/movies/?id=predators.htm",52000688,"Fox","July","Sci-Fi Horror",107,"R",40,"Nimród Antal"
"1157","Tyler Perry's Temptation: Confessions of a Marriage Counselor","/movies/?id=marriagecounselor.htm",51975354,"Lionsgate","March","Drama",111,"PG-13",NA,"Tyler Perry"
"1158","Underworld","/movies/?id=underworld.htm",51970690,"Sony / Screen Gems","September","Action Horror",115,"R",22,"Len Wiseman"
"1159","King Arthur","/movies/?id=kingarthur.htm",51882244,"Buena Vista","July","Period Adventure",130,"PG-13",120,"Antoine Fuqua"
"1160","The Call","/movies/?id=call2013.htm",51872378,"TriStar","March","Thriller",95,"R",13,"Brad Anderson"
"1161","Funny People","/movies/?id=funnypeople.htm",51855045,"Universal","July","Comedy",136,"R",75,"Judd Apatow"
"1162","The Odd Life of Timothy Green","/movies/?id=oddlifeoftimothygreen.htm",51854875,"Buena Vista","August","Fantasy",100,"PG",NA,"Peter Hedges"
"1163","Hubble 3D","/movies/?id=hubble3d.htm",51844907,"Warner Bros.","March","IMAX",43,"G",NA,NA
"1164","Finding Forrester","/movies/?id=findingforrester.htm",51804714,"Sony / Columbia","December","Drama",136,"PG-13",NA,"Gus Van Sant"
"1165","Footloose (2011)","/movies/?id=footloose2010.htm",51802742,"Paramount","October","Musical",113,"PG-13",24,"Craig Brewer"
"1166","Ghost Rider: Spirit of Vengeance","/movies/?id=ghostrider2.htm",51774002,"Sony / Columbia","February","Action Horror",95,"PG-13",57,"Mark Neveldine"
"1167","Exit Wounds","/movies/?id=exitwounds.htm",51758599,"Warner Bros.","March","Action",101,"R",50,"Andrzej Bartkowiak"
"1168","Tyler Perry's I Can Do Bad All By Myself","/movies/?id=icandobadallbymyself.htm",51733921,"Lionsgate","September","Comedy / Drama",113,"PG-13",NA,"Tyler Perry"
"1169","Lion","/movies/?id=lion.htm",51728731,"Weinstein Company","November","Drama",120,"PG-13",NA,NA
"1170","Finding Neverland","/movies/?id=findingneverland.htm",51680613,"Miramax","November","Period Drama",101,"PG",25,"Marc Forster"
"1171","The Grey","/movies/?id=grey.htm",51580236,"Open Road Films","January","Action Drama",117,"R",25,"Joe Carnahan"
"1172","My Bloody Valentine 3-D","/movies/?id=mybloodyvalentine09.htm",51545952,"Lionsgate","January","Horror",101,"R",15,"Patrick Lussier"
"1173","A Cinderella Story","/movies/?id=cinderellastory.htm",51438175,"Warner Bros.","July","Family Comedy",96,"PG",19,NA
"1174","Like Mike","/movies/?id=likemike.htm",51432760,"Fox","July","Family Comedy",100,"PG",30,"John Schultz"
"1175","Enemy at the Gates","/movies/?id=enemyatthegates.htm",51401758,"Paramount","March","War",131,"R",68,"Jean-Jacques Annaud"
"1176","Hoodwinked","/movies/?id=hoodwinked.htm",51386611,"Weinstein Company","December","Animation",95,"PG",NA,NA
"1177","Dragonheart","/movies/?id=dragonheart.htm",51367375,"Universal","May","Fantasy",88,"PG-13",NA,"Rob Cohen"
"1178","The Phantom of the Opera","/movies/?id=phantomoftheopera.htm",51268815,"Warner Bros.","December","Musical",143,"PG-13",70,"Joel Schumacher"
"1179","Resident Evil: Apocalypse","/movies/?id=residentevilapocalypse.htm",51201453,"Sony / Screen Gems","September","Action Horror",94,"R",45,NA
"1180","Muppets Most Wanted","/movies/?id=muppets2.htm",51183113,"Buena Vista","March","Family Comedy",112,"PG",50,"James Bobin"
"1181","Hide and Seek","/movies/?id=hideandseek.htm",51100486,"Fox","January","Thriller",105,"R",NA,NA
"1182","Up Close and Personal","/movies/?id=upcloseandpersonal.htm",51088705,"Buena Vista","March","Romance",124,"PG-13",NA,NA
"1183","The Hitchhiker's Guide to the Galaxy","/movies/?id=hitchhikersguide.htm",51085416,"Buena Vista","April","Sci-Fi Comedy",103,"PG",50,"Garth Jennings"
"1184","Atonement","/movies/?id=atonement.htm",50927067,"Focus Features","December","Period Drama",123,"R",NA,"Joe Wright"
"1185","The Tale of Despereaux","/movies/?id=taleofdespereaux.htm",50877145,"Universal","December","Animation",87,"G",60,"Sam Fell"
"1186","Apocalypto","/movies/?id=apocalypto.htm",50866635,"Buena Vista","December","Period Adventure",138,"R",40,"Mel Gibson"
"1187","The Road to El Dorado","/movies/?id=roadtoeldorado.htm",50863742,"DreamWorks","March","Animation",99,"PG",95,"Will Finn"
"1188","Ouija","/movies/?id=ouija.htm",50856010,"Universal","October","Horror",89,"PG-13",5,"Stiles White"
"1189","The Boxtrolls","/movies/?id=laika2014.htm",50837305,"Focus Features","September","Animation",97,"PG",60,"Graham Annable"
"1190","Syriana","/movies/?id=syriana.htm",50824620,"Warner Bros.","November","Drama / Thriller",126,"R",50,"Stephen Gaghan"
"1191","The Hurricane","/movies/?id=hurricane.htm",50699241,"Universal","December","Sports Drama",146,"R",50,NA
"1192","Resident Evil: Extinction","/movies/?id=residentevil3.htm",50648679,"Sony / Screen Gems","September","Action Horror",95,"R",NA,NA
"1193","Tyler Perry's Diary of a Mad Black Woman","/movies/?id=diaryofamadblackwoman.htm",50633099,"Lions Gate","February","Comedy / Drama",116,"PG-13",55,NA
"1194","Mighty Joe Young","/movies/?id=mightyjoeyoung.htm",50632037,"Buena Vista","December","Adventure",114,"PG",90,"Ron Underwood"
"1195","Jack Ryan: Shadow Recruit","/movies/?id=jackryan.htm",50577412,"Paramount","January","Action Thriller",100,"PG-13",60,"Kenneth Branagh"
"1196","Music and Lyrics","/movies/?id=musicandlyricsby.htm",50572589,"Warner Bros.","February","Romantic Comedy",96,"PG-13",NA,"Marc Lawrence"
"1197","The Tuxedo","/movies/?id=tuxedo.htm",50547998,"DreamWorks","September","Action Comedy",99,"PG-13",60,NA
"1198","If I Stay","/movies/?id=ifistay.htm",50474843,"Warner Bros. (New Line)","August","Drama",106,"PG-13",11,"R.J. Cutler"
"1199","K-PAX","/movies/?id=k-pax.htm",50338485,"Universal","October","Drama",121,"PG-13",68,"Iain Softley"
"1200","Serendipity","/movies/?id=serendipity.htm",50294317,"Miramax","October","Romantic Comedy",90,"PG-13",NA,"Peter Chelsom"
"1201","Hot Tub Time Machine","/movies/?id=hottubtimemachine.htm",50287556,"MGM","March","Comedy",100,"R",36,"Steve Pink"
"1202","Breakdown","/movies/?id=breakdown.htm",50159144,"Paramount","May","Thriller",93,"R",36,NA
"1203","The Book of Life (2014)","/movies/?id=bookoflife14.htm",50151543,"Fox","October","Animation",95,"PG",50,"Jorge R. Gutierrez"
"1204","Absolute Power","/movies/?id=absolutepower.htm",50068310,"Sony / Columbia","February","Crime Thriller",121,"R",NA,"Clint Eastwood"
"1205","Evita","/movies/?id=evita.htm",50047179,"Buena Vista","December","Musical",130,"PG",55,"Alan Parker"
"1206","Stigmata","/movies/?id=stigmata.htm",50046268,"MGM","September","Horror",102,"R",29,NA
"1207","Home on the Range","/movies/?id=homeontherange.htm",50030461,"Buena Vista","April","Animation",76,"PG",110,"Will Finn"
"1208","Red Tails","/movies/?id=redtails.htm",49876377,"Fox","January","Action / Adventure",120,"PG-13",58,"Anthony Hemingway"
"1209","Pain and Gain","/movies/?id=painandgain.htm",49875291,"Paramount","April","Action",129,"R",26,"Michael Bay"
"1210","Racing Stripes","/movies/?id=racingstripes.htm",49772522,"Warner Bros.","January","Family Adventure",84,"PG",NA,"Frederik Du Chau"
"1211","Are We Done Yet?","/movies/?id=arewedoneyet.htm",49662533,"Sony (Revolution)","April","Family Comedy",92,"PG",NA,"Steve Carr"
"1212","Australia","/movies/?id=australia.htm",49554002,"Fox","November","Period Adventure",165,"PG-13",130,"Baz Luhrmann"
"1213","Old Dogs","/movies/?id=olddogs.htm",49492060,"Buena Vista","November","Family Comedy",88,"PG",35,"Walter Becker"
"1214","Runaway Jury","/movies/?id=runawayjury.htm",49443628,"Fox","October","Thriller",123,"PG-13",60,NA
"1215","Land of the Lost","/movies/?id=landofthelost.htm",49438370,"Universal","June","Adventure Comedy",93,"PG-13",100,"Brad Silberling"
"1216","Volcano","/movies/?id=volcano.htm",49323468,"Fox","April","Action Drama",104,"PG-13",90,NA
"1217","My Sister's Keeper","/movies/?id=mysisterskeeper.htm",49200230,"Warner Bros. (New Line)","June","Drama",106,"PG-13",30,"Nick Cassavetes"
"1218","The Possession","/movies/?id=dibbukbox.htm",49130154,"Lionsgate","August","Horror",91,"PG-13",14,"Ole Bornedal"
"1219","This Christmas","/movies/?id=thischristmas.htm",49121934,"Sony / Screen Gems","November","Drama",117,"PG-13",13,NA
"1220","Michael Clayton","/movies/?id=michaelclayton.htm",49033882,"Warner Bros.","October","Thriller",120,"R",NA,"Tony Gilroy"
"1221","Diary of a Wimpy Kid: Dog Days","/movies/?id=diaryofawimpykid3.htm",49008662,"Fox","August","Comedy",94,"PG",22,"David Bowers"
"1222","Men of Honor","/movies/?id=menofhonor.htm",48818921,"Fox","November","Period Drama",129,"R",32,"George Tillman, Jr."
"1223","Firewall","/movies/?id=firewall.htm",48751189,"Warner Bros.","February","Thriller",100,"PG-13",NA,"Richard Loncraine"
"1224","About Last Night (2014)","/movies/?id=aboutlastnight14.htm",48637684,"Sony / Screen Gems","February","Romantic Comedy",100,"R",125,"Steve Pink"
"1225","Speed 2: Cruise Control","/movies/?id=speed2.htm",48608066,"Fox","June","Action Thriller",121,"PG-13",160,"Jan DeBont"
"1226","Date Movie","/movies/?id=datemovie.htm",48548426,"Fox","February","Romantic Comedy",80,"PG-13",20,"Aaron Seltzer"
"1227","Miss Congeniality 2: Armed and Fabulous","/movies/?id=misscongeniality2.htm",48478006,"Warner Bros.","March","Action Comedy",107,"PG-13",NA,NA
"1228","The Dilemma","/movies/?id=howardvaughnjames.htm",48475290,"Universal","January","Comedy",118,"PG-13",70,"Ron Howard"
"1229","Peter Pan","/movies/?id=peterpan03.htm",48462608,"Universal","December","Family Adventure",113,"PG",100,"P.J. Hogan"
"1230","Return to Never Land","/movies/?id=returntoneverland.htm",48430258,"Buena Vista","February","Animation",72,"G",20,NA
"1231","The Huntsman: Winter's War","/movies/?id=huntsman.htm",48390190,"Universal","April","Action / Adventure",114,"PG-13",115,"Cedric Nicolas-Troyan"
"1232","Big Fat Liar","/movies/?id=bigfatliar.htm",48360547,"Universal","February","Family Comedy",87,"PG",15,"Shawn Levy"
"1233","The Game","/movies/?id=game.htm",48323648,"PolyGram","September","Thriller",128,"R",NA,"David Fincher"
"1234","Just Like Heaven","/movies/?id=justlikeheaven.htm",48318130,"DreamWorks","September","Romantic Comedy",95,"PG-13",58,"Mark S. Waters"
"1235","The House Bunny","/movies/?id=housebunny.htm",48237389,"Sony / Columbia","August","Comedy",94,"PG-13",25,"Fred Wolf"
"1236","G.I. Jane","/movies/?id=gijane.htm",48169156,"Buena Vista","August","Action Drama",125,"R",NA,"Ridley Scott"
"1237","Fat Albert","/movies/?id=fatalbert.htm",48116322,"Fox","December","Family Comedy",100,"PG",NA,NA
"1238","The Preacher's Wife","/movies/?id=preacherswife.htm",48102795,"Buena Vista","December","Comedy",124,"PG",NA,"Penny Marshall"
"1239","Sinister","/movies/?id=sinister.htm",48086903,"Lionsgate/Summit","October","Horror",110,"R",3,"Scott Derrickson"
"1240","Kick-Ass","/movies/?id=kickass.htm",48071303,"Lionsgate","April","Action Comedy",117,"R",30,"Matthew Vaughn"
"1241","Kubo and the Two Strings","/movies/?id=kuboandthetwostrings.htm",48023088,"Focus Features","August","Animation",101,"PG",60,"Travis Knight"
"1242","Secret Window","/movies/?id=secretwindow.htm",48022900,"Sony / Columbia","March","Thriller",106,"PG-13",40,"David Koepp"
"1243","Nim's Island","/movies/?id=nimsisland.htm",48006762,"Fox","April","Family Adventure",95,"PG",37,NA
"1244","Agent Cody Banks","/movies/?id=agentcodybanks.htm",47938330,"MGM","March","Family Adventure",110,"PG",28,"Harald Zwart"
"1245","The Skeleton Key","/movies/?id=skeletonkey.htm",47907715,"Universal","August","Horror",104,"PG-13",43,"Iain Softley"
"1246","The Jungle Book 2","/movies/?id=junglebook2.htm",47901582,"Buena Vista","February","Animation",78,"G",20,NA
"1247","When a Stranger Calls","/movies/?id=whenastrangercalls06.htm",47860214,"Sony / Screen Gems","February","Horror Thriller",100,"PG-13",15,"Simon West"
"1248","Premonition","/movies/?id=premonition.htm",47852604,"Sony / Columbia","March","Thriller",110,"PG-13",20,NA
"1249","Alien Resurrection","/movies/?id=alienresurrection.htm",47795658,"Fox","November","Sci-Fi Horror",109,"R",75,"Jean-Pierre Jeunet"
"1250","Baywatch","/movies/?id=baywatch.htm",47785135,"Paramount","May","Action Comedy",116,"R",69,"Seth Gordon"
"1251","The Rundown","/movies/?id=rundown.htm",47726342,"Universal","September","Action Comedy",104,"PG-13",85,"Peter Berg"
"1252","Manchester by the Sea","/movies/?id=manchesterbythesea.htm",47695371,"Roadside Attractions","November","Drama",135,"R",NA,"Kenneth Lonergan"
"1253","Dan in Real Life","/movies/?id=daninreallife.htm",47642963,"Buena Vista","October","Comedy",95,"PG-13",NA,"Peter Hedges"
"1254","Beauty and the Beast (3D)","/movies/?id=beautyandthebeast3d.htm",47617067,"Buena Vista","January","Animation",84,"G",NA,NA
"1255","Into The Storm","/movies/?id=intothestorm.htm",47602194,"Warner Bros. (New Line)","August","Thriller",89,"PG-13",50,"Steven Quale"
