"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"9115","Video Games: The Movie","/movies/?id=videogames.htm",23043,"Variance Films","July","Documentary",105,"Unrated",NA,NA
"9116","Incantato","/movies/?id=incantato.htm",23039,"Northern Arts","September","Unknown",107,"Unrated",NA,NA
"9117","Goat","/movies/?id=goat.htm",23020,"The Film Arcade","September","Drama",96,"R",NA,NA
"9118","Islam: What the West Needs to Know","/movies/?id=islamwhatthewestneedstoknow.htm",22938,"Quixotic Media","July","Documentary",98,"Unrated",NA,NA
"9119","My Scientology Movie","/movies/?id=myscientologymovie.htm",22936,"Magnolia","March","Documentary",99,"Not Yet Rated",NA,NA
"9120","Ambrose Bierce: Civil War Stories","/movies/?id=ambrosebiercecivilwarstories.htm",22918,"Screenland Films","September","War Drama",84,"Unrated",NA,NA
"9121","Frankie and Johnny Are Married","/movies/?id=frankieandjohnnyaremarried.htm",22900,"IFC","May","Unknown",95,"R",NA,NA
"9123","Normal Life","/movies/?id=normallife.htm",22891,"Fine Line","October","Unknown",108,"R",NA,NA
"9124","Hellbound?","/movies/?id=hellbound.htm",22887,"Area23a","September","Documentary",84,"Unrated",NA,NA
"9125","Short Peace","/movies/?id=shortpeace.htm",22862,"Eleven Arts","March","Animation",68,"Unrated",NA,NA
"9126","The First Time","/movies/?id=firsttime.htm",22836,"Samuel Goldwyn","October","Comedy / Drama",NA,"PG-13",NA,NA
"9127","Son Frere","/movies/?id=sonfrere.htm",22834,"Strand","April","Unknown",96,"Unrated",NA,NA
"9128","Keyhole","/movies/?id=keyhole.htm",22826,"Monterey Media, Inc.","April","Thriller",93,"R",NA,NA
"9129","The Monster (Re-issue)","/movies/?id=monster99.htm",22819,"Lions Gate","April","Foreign",112,"R",NA,NA
"9130","Hannah Takes the Stairs","/movies/?id=hannahtakesthestairs.htm",22815,"IFC","August","Drama",83,"Unrated",NA,"Joe Swanberg"
"9131","Flanders","/movies/?id=flanders.htm",22788,"International Film Circuit","May","Foreign",91,"Unrated",NA,NA
"9132","Weather Girl","/movies/?id=weathergirl.htm",22779,"New American Vision","July","Comedy",92,"R",NA,NA
"9133","The Long Day Closes (2012 re-release)","/movies/?id=thelongdaycloses.htm",22765,"The Film Desk","March","Drama",85,"PG",NA,NA
"9134","Carol Channing: Larger Than Life","/movies/?id=carolchanning.htm",22740,"Entertainment One","January","Documentary",83,"PG",NA,NA
"9135","The Last Big Thing","/movies/?id=lastbigthing.htm",22731,"Stratosphere","September","Comedy",98,"R",NA,NA
"9136","Vanishing on 7th Street","/movies/?id=vanishingon7thstreet.htm",22729,"Magnolia","February","Horror Thriller",93,"R",NA,"Brad Anderson"
"9137","The Revisionaries","/movies/?id=revisionaries.htm",22664,"Kino Lorber","October","Documentary",92,"Unrated",NA,NA
"9138","Two Lives","/movies/?id=twolives.htm",22620,"IFC","February","Foreign",97,"Unrated",NA,NA
"9139","S21: The Khmer Rouge Killing Machine","/movies/?id=s21.htm",22606,"First Run","May","Unknown",101,"Unrated",NA,NA
"9140","Grand Piano","/movies/?id=grandpiano.htm",22555,"Magnolia","March","Thriller",90,"R",NA,NA
"9141","Black Death","/movies/?id=blackdeath.htm",22554,"Magnolia","March","Adventure",97,"R",NA,NA
"9142","The Other City","/movies/?id=othercity.htm",22539,"Cabin Films","September","Documentary",90,"Unrated",NA,NA
"9143","The Black Dove","/movies/?id=theblackdove.htm",22517,"Indican","August","Drama",NA,"Unrated",NA,NA
"9144","Salut D'Amour","/movies/?id=salutdamour.htm",22480,"CJ Entertainment","April","Foreign",112,"Unrated",NA,NA
"9145","Happy Tears","/movies/?id=happytears.htm",22464,"Roadside Attractions","February","Drama",95,"R",NA,NA
"9146","Incendiary","/movies/?id=incendiary.htm",22457,"Truly Indie","September","Documentary",99,"Unrated",NA,"Sharon Maguire"
"9147","The Good Night","/movies/?id=goodnight.htm",22441,"Yari Film Group","October","Fantasy Drama",93,"R",NA,"Jake Paltrow"
"9148","Kamikaze '89","/movies/?id=kamikaze89.htm",22440,"Film Movement","June","Sci-Fi",106,"Unrated",NA,NA
"9149","Be Here Now: The Andy Whitfield Story","/movies/?id=beherenow.htm",22424,"Tugg ","April","Documentary",110,"Unrated",NA,NA
"9150","Filth and Wisdom","/movies/?id=filthandwisdom.htm",22406,"IFC","October","Comedy",84,"Unrated",NA,"Madonna"
"9151","Blackmail Boy","/movies/?id=blackmailboy.htm",22393,"Picture This!","November","Foreign",100,"Unrated",NA,NA
"9152","F**k","/movies/?id=fk.htm",22359,"ThinkFilm","November","Documentary",93,"Unrated",NA,NA
"9153","Tyrannosaur","/movies/?id=tyrannosaur.htm",22321,"Strand","November","Drama",91,"Unrated",NA,"Paddy Considine"
"9154","Excellent Cadavers","/movies/?id=excellentcadavers.htm",22300,"Icarus Films","July","Crime Drama",106,"R",NA,NA
